call_type,latitude,longitude
Alarms,37.77991167,-122.4074744
Alarms,37.77732776,-122.3930886
Medical Incident,37.78013037,-122.4098714
Medical Incident,37.78530744,-122.4742451
Alarms,37.74691023,-122.4258238
Medical Incident,37.7830194,-122.4638918
Medical Incident,37.74817255,-122.458695
Medical Incident,37.78176159,-122.4110582
Alarms,37.7877641,-122.4099253
Medical Incident,37.80546355,-122.4144122
Alarms,37.78420567,-122.4076127
Medical Incident,37.77409268,-122.4410844
Medical Incident,37.77814783,-122.4862064
Medical Incident,37.77319006,-122.418237
Medical Incident,37.78160513,-122.4163363
Medical Incident,37.7894925,-122.3901509
Medical Incident,37.77782816,-122.4249247
Structure Fire,37.79049502,-122.4023533
Medical Incident,37.74521892,-122.4174839
Medical Incident,37.77762424,-122.3999811
Medical Incident,37.79695516,-122.3989082
Structure Fire,37.77428384,-122.4670881
Medical Incident,37.76972086,-122.4179492
Alarms,37.77991167,-122.4074744
Medical Incident,37.78434554,-122.4077851
Structure Fire,37.79860278,-122.4231486
Medical Incident,37.7806621,-122.4228979
Medical Incident,37.78611721,-122.4198542
Medical Incident,37.75762172,-122.4188873
Medical Incident,37.77419657,-122.5100338
Medical Incident,37.78429938,-122.4101413
Medical Incident,37.78708179,-122.4258678
Medical Incident,37.7894925,-122.3901509
Medical Incident,37.78611721,-122.4198542
Traffic Collision,37.71347595,-122.4345411
Traffic Collision,37.79184209,-122.3949402
Medical Incident,37.78153451,-122.4281353
Alarms,37.77991167,-122.4074744
Medical Incident,37.77779031,-122.4128343
Medical Incident,37.74521892,-122.4174839
Medical Incident,37.78373004,-122.4137537
Outside Fire,37.76042745,-122.410962
Medical Incident,37.76429934,-122.4185514
Alarms,37.7841909,-122.4101195
Medical Incident,37.7757637,-122.4757505
Medical Incident,37.79494605,-122.4291559
Gas Leak (Natural and LP Gases),37.76182764,-122.3983307
Gas Leak (Natural and LP Gases),37.76182764,-122.3983307
Medical Incident,37.78574399,-122.405831
Medical Incident,37.73295563,-122.3875908
Medical Incident,37.75219765,-122.3974777
Medical Incident,37.78300757,-122.4458585
Medical Incident,37.77487017,-122.3944171
Medical Incident,37.78600483,-122.3950773
Alarms,37.75436288,-122.4232161
Medical Incident,37.77409486,-122.4200014
Electrical Hazard,37.73605995,-122.4923319
Vehicle Fire,37.75124396,-122.4215853
Medical Incident,37.72930177,-122.3908768
Medical Incident,37.78300757,-122.4458585
Alarms,37.78935407,-122.4000324
Medical Incident,37.75828227,-122.4907982
Medical Incident,37.70911386,-122.4318301
Medical Incident,37.76272932,-122.4229584
Medical Incident,37.75584156,-122.4017799
Alarms,37.7825474,-122.4122479
Alarms,37.78729529,-122.4158061
Medical Incident,37.7330297,-122.4342263
Medical Incident,37.7233591,-122.4019025
Structure Fire,37.79860278,-122.4231486
Alarms,37.72569336,-122.4522897
Medical Incident,37.78383852,-122.4137755
Medical Incident,37.78775592,-122.4009754
Medical Incident,37.79920486,-122.4401325
Outside Fire,37.79983846,-122.4284568
Medical Incident,37.78013037,-122.4098714
Medical Incident,37.73654494,-122.4223236
Medical Incident,37.79916843,-122.4174283
Medical Incident,37.74089198,-122.465829
Medical Incident,37.76429934,-122.4185514
Medical Incident,37.75995363,-122.4371836
Medical Incident,37.78071918,-122.4153156
Traffic Collision,37.73243866,-122.4056075
Medical Incident,37.78434554,-122.4077851
Medical Incident,37.780001,-122.4416585
Medical Incident,37.78566436,-122.4597544
Traffic Collision,37.77578731,-122.3933551
Medical Incident,37.72581695,-122.402917
Structure Fire,37.80769049,-122.4123296
Medical Incident,37.76437321,-122.4174785
Medical Incident,37.77883232,-122.4156425
Structure Fire,37.78640961,-122.4080362
Medical Incident,37.78191397,-122.4130322
Traffic Collision,37.72378785,-122.4364493
Structure Fire,37.75599844,-122.4094331
Alarms,37.80711992,-122.4164279
Medical Incident,37.70885361,-122.4051095
Alarms,37.7825474,-122.4122479
Medical Incident,37.7444275,-122.4086903
Medical Incident,37.78775662,-122.4130557
Medical Incident,37.77555816,-122.4186586
Medical Incident,37.78611721,-122.4198542
Gas Leak (Natural and LP Gases),37.75754536,-122.4730003
Structure Fire,37.783359,-122.4166949
Medical Incident,37.77555816,-122.4186586
Traffic Collision,37.74801345,-122.4224874
Traffic Collision,37.71347595,-122.4345411
Alarms,37.77299247,-122.4761579
Alarms,37.78420567,-122.4076127
Citizen Assist / Service Call,37.7707087,-122.4077168
Alarms,37.77416171,-122.489139
Citizen Assist / Service Call,37.75729278,-122.3957719
Medical Incident,37.75464094,-122.4186018
Alarms,37.74691023,-122.4258238
Medical Incident,37.77404134,-122.423188
Alarms,37.78316766,-122.3978255
Fuel Spill,37.73486828,-122.411052
Medical Incident,37.76423612,-122.4196598
Medical Incident,37.78326039,-122.4183662
Structure Fire,37.79049502,-122.4023533
Alarms,37.79569128,-122.4394237
Medical Incident,37.77782548,-122.4715032
Alarms,37.79129325,-122.3986146
Medical Incident,37.77953108,-122.4135425
Medical Incident,37.72581695,-122.402917
Structure Fire,37.75599844,-122.4094331
Medical Incident,37.78594197,-122.4080127
Medical Incident,37.78186545,-122.4142853
Medical Incident,37.7935386,-122.3928891
Medical Incident,37.78147394,-122.4206896
Citizen Assist / Service Call,37.75255649,-122.451114
Medical Incident,37.77986128,-122.3895907
Medical Incident,37.78895561,-122.4178258
Medical Incident,37.78086621,-122.4288032
Medical Incident,37.7702426,-122.4296382
Medical Incident,37.7757637,-122.4757505
Medical Incident,37.79695516,-122.3989082
Medical Incident,37.76213763,-122.4362418
Alarms,37.78137782,-122.433162
Medical Incident,37.78186545,-122.4142853
Medical Incident,37.75730761,-122.4066198
Medical Incident,37.78003795,-122.4858076
Medical Incident,37.78511111,-122.414592
Structure Fire,37.77025923,-122.4318323
Medical Incident,37.76907575,-122.4207886
Medical Incident,37.76310298,-122.4663147
Medical Incident,37.78186545,-122.4142853
Alarms,37.78137782,-122.433162
Medical Incident,37.78097118,-122.4087087
Alarms,37.79569128,-122.4394237
Structure Fire,37.80769049,-122.4123296
Traffic Collision,37.76946255,-122.4062134
Medical Incident,37.77844605,-122.4995914
Medical Incident,37.7757637,-122.4757505
Medical Incident,37.75995363,-122.4371836
Medical Incident,37.75300403,-122.4063362
Medical Incident,37.783052,-122.4200103
Medical Incident,37.78150637,-122.4079329
Medical Incident,37.77966604,-122.4137112
Medical Incident,37.74957409,-122.476228
Medical Incident,37.79452665,-122.411364
Alarms,37.78818604,-122.4059182
Medical Incident,37.75995363,-122.4371836
Medical Incident,37.7885473,-122.4143744
Medical Incident,37.78316343,-122.4115993
Medical Incident,37.77650804,-122.4144578
Medical Incident,37.7323221,-122.378385
Medical Incident,37.77527143,-122.4660187
Medical Incident,37.77592613,-122.4245791
Structure Fire,37.80769049,-122.4123296
Medical Incident,37.77592613,-122.4245791
Medical Incident,37.77091334,-122.420305
Medical Incident,37.7757637,-122.4757505
Alarms,37.78726854,-122.4001889
Alarms,37.78299265,-122.3905285
Medical Incident,37.7773216,-122.449116
Medical Incident,37.74702849,-122.4315135
Structure Fire,37.78521736,-122.4170696
Alarms,37.79129325,-122.3986146
Structure Fire,37.77428384,-122.4670881
Alarms,37.77416171,-122.489139
Medical Incident,37.76429934,-122.4185514
Traffic Collision,37.76946255,-122.4062134
Alarms,37.79746472,-122.4146678
Structure Fire,37.783359,-122.4166949
Alarms,37.75366959,-122.4222784
Medical Incident,37.78191397,-122.4130322
Traffic Collision,37.77531731,-122.427724
Medical Incident,37.79494605,-122.4291559
Medical Incident,37.76967964,-122.449942
Medical Incident,37.79073739,-122.4198727
Medical Incident,37.78111921,-122.412597
Traffic Collision,37.74252073,-122.4043063
Medical Incident,37.7806621,-122.4228979
Alarms,37.75689017,-122.4222293
Medical Incident,37.73371403,-122.3805885
Medical Incident,37.76213763,-122.4362418
Medical Incident,37.78373004,-122.4137537
Alarms,37.72569336,-122.4522897
Medical Incident,37.7712162,-122.4378883
Medical Incident,37.80646891,-122.4192245
Medical Incident,37.7124692,-122.4147903
Medical Incident,37.7815854,-122.4230902
Alarms,37.77991167,-122.4074744
Medical Incident,37.78191397,-122.4130322
Medical Incident,37.78186545,-122.4142853
Structure Fire,37.79860278,-122.4231486
Medical Incident,37.77262672,-122.4199873
Medical Incident,37.78796309,-122.4034918
Structure Fire,37.78521736,-122.4170696
Structure Fire,37.79049502,-122.4023533
Medical Incident,37.72930177,-122.3908768
Outside Fire,37.76164305,-122.4120503
Medical Incident,37.73216722,-122.4212838
Medical Incident,37.78729821,-122.3944813
Structure Fire,37.71645955,-122.4410196
Medical Incident,37.78566436,-122.4597544
Traffic Collision,37.77085213,-122.4136792
Alarms,37.79129325,-122.3986146
Medical Incident,37.78530744,-122.4742451
Medical Incident,37.77762424,-122.3999811
Medical Incident,37.76403274,-122.5094022
Medical Incident,37.77966604,-122.4137112
Medical Incident,37.75683373,-122.406699
Medical Incident,37.73117466,-122.3816081
Medical Incident,37.7869902,-122.4106839
Alarms,37.76990742,-122.4291109
Medical Incident,37.78047851,-122.4125123
Medical Incident,37.75730761,-122.4066198
Medical Incident,37.78383852,-122.4137755
Structure Fire,37.78521736,-122.4170696
Medical Incident,37.78578701,-122.4125478
Medical Incident,37.73111444,-122.3801049
Medical Incident,37.78153743,-122.4095183
Medical Incident,37.77097894,-122.402816
Medical Incident,37.7985219,-122.4163842
Structure Fire,37.75599844,-122.4094331
Medical Incident,37.78401768,-122.4312381
Medical Incident,37.74953353,-122.4771494
Medical Incident,37.78186545,-122.4142853
Medical Incident,37.7731448,-122.3914729
Medical Incident,37.75223946,-122.4184453
Medical Incident,37.74817255,-122.458695
Medical Incident,37.77262672,-122.4199873
Medical Incident,37.78258503,-122.4156939
Medical Incident,37.78401768,-122.4312381
Medical Incident,37.73654494,-122.4223236
Structure Fire,37.77428384,-122.4670881
Medical Incident,37.77824109,-122.4111848
Medical Incident,37.73672968,-122.4248504
Structure Fire,37.75599844,-122.4094331
Medical Incident,37.79323049,-122.3931813
Medical Incident,37.76924706,-122.4269556
Medical Incident,37.80193064,-122.4125413
Medical Incident,37.797515,-122.4471583
Traffic Collision,37.75617132,-122.4198655
Alarms,37.75016484,-122.4128319
Medical Incident,37.78566436,-122.4597544
Gas Leak (Natural and LP Gases),37.75754536,-122.4730003
Medical Incident,37.76423612,-122.4196598
Medical Incident,37.73520174,-122.4341983
Medical Incident,37.78611721,-122.4198542
Medical Incident,37.79196281,-122.393243
Medical Incident,37.78354278,-122.4925102
Medical Incident,37.78144749,-122.4171456
Traffic Collision,37.74801345,-122.4224874
Medical Incident,37.76419571,-122.4330745
Structure Fire,37.77025923,-122.4318323
Structure Fire,37.79860278,-122.4231486
Medical Incident,37.79053181,-122.4039142
Medical Incident,37.72094516,-122.4782782
Medical Incident,37.79020396,-122.4163929
Medical Incident,37.78160513,-122.4163363
Medical Incident,37.77883232,-122.4156425
Medical Incident,37.76491738,-122.4218864
Medical Incident,37.75257276,-122.4129952
Medical Incident,37.79282365,-122.3970342
Alarms,37.77010383,-122.3910434
Medical Incident,37.78594197,-122.4080127
Medical Incident,37.77604635,-122.4112888
Medical Incident,37.78332633,-122.4403249
Structure Fire,37.77025923,-122.4318323
Alarms,37.78316766,-122.3978255
Traffic Collision,37.76924401,-122.4080072
Medical Incident,37.75117143,-122.3973798
Medical Incident,37.71901187,-122.4804507
Medical Incident,37.78071918,-122.4153156
Medical Incident,37.78003795,-122.4858076
Medical Incident,37.75196034,-122.4363769
Medical Incident,37.78610104,-122.4180881
Medical Incident,37.78780723,-122.4192796
Structure Fire,37.77025923,-122.4318323
Medical Incident,37.78086621,-122.4288032
Medical Incident,37.76033176,-122.5092121
Alarms,37.7877641,-122.4099253
Medical Incident,37.76173673,-122.4973495
Alarms,37.78729529,-122.4158061
Structure Fire,37.78640961,-122.4080362
Smoke Investigation (Outside),37.73438048,-122.4387974
Structure Fire,37.78640961,-122.4080362
Medical Incident,37.78241705,-122.4208105
Medical Incident,37.78176091,-122.4151051
Traffic Collision,37.76495166,-122.4319376
Medical Incident,37.78578701,-122.4125478
Medical Incident,37.73782181,-122.4323983
Medical Incident,37.72848944,-122.4299954
Structure Fire,37.79049502,-122.4023533
Medical Incident,37.76437321,-122.4174785
Medical Incident,37.75148331,-122.4564484
Medical Incident,37.79724775,-122.4346792
Medical Incident,37.76967964,-122.449942
Medical Incident,37.77319006,-122.418237
Structure Fire,37.78640961,-122.4080362
Medical Incident,37.77527143,-122.4660187
Medical Incident,37.79777923,-122.407828
Alarms,37.7841909,-122.4101195
Medical Incident,37.78191397,-122.4130322
Medical Incident,37.78128769,-122.4113181
Vehicle Fire,37.75124396,-122.4215853
Medical Incident,37.78150637,-122.4079329
Alarms,37.78870661,-122.3990102
Medical Incident,37.77409486,-122.4200014
Medical Incident,37.77305345,-122.4186182
Medical Incident,37.78764185,-122.4034308
Structure Fire,37.75599844,-122.4094331
Alarms,37.78818604,-122.4059182
Gas Leak (Natural and LP Gases),37.72465238,-122.4022886
Medical Incident,37.72025167,-122.4114755
Medical Incident,37.77953108,-122.4135425
Traffic Collision,37.75414577,-122.4786157
Gas Leak (Natural and LP Gases),37.77684957,-122.4213512
Alarms,37.77299247,-122.4761579
Medical Incident,37.73216722,-122.4212838
Medical Incident,37.78186545,-122.4142853
Medical Incident,37.78626844,-122.4129972
Medical Incident,37.80627493,-122.4230092
Medical Incident,37.79096861,-122.4023804
Other,37.73605995,-122.4923319
Structure Fire,37.78521736,-122.4170696
Medical Incident,37.77659524,-122.4780333
Medical Incident,37.80193064,-122.4125413
Medical Incident,37.79318893,-122.4005535
Medical Incident,37.72848944,-122.4299954
Structure Fire,37.79049502,-122.4023533
Medical Incident,37.7773216,-122.449116
Medical Incident,37.78186545,-122.4142853
Medical Incident,37.78437057,-122.4388412
Medical Incident,37.78331041,-122.3883799
Medical Incident,37.78708179,-122.4258678
Gas Leak (Natural and LP Gases),37.75754536,-122.4730003
Structure Fire,37.79049502,-122.4023533
Structure Fire,37.77428384,-122.4670881
Citizen Assist / Service Call,37.78119999,-122.4303649
Medical Incident,37.78611721,-122.4198542
Other,37.72229807,-122.4113031
Medical Incident,37.73234096,-122.4061162
Alarms,37.75016484,-122.4128319
Alarms,37.75016484,-122.4128319
Alarms,37.78420567,-122.4076127
Alarms,37.78870661,-122.3990102
Traffic Collision,37.79184209,-122.3949402
Medical Incident,37.72930177,-122.3908768
Alarms,37.78845684,-122.4018373
Medical Incident,37.78911017,-122.4170169
Structure Fire,37.79049502,-122.4023533
Medical Incident,37.77829356,-122.5029457
Medical Incident,37.72025167,-122.4114755
Medical Incident,37.76505134,-122.419669
Traffic Collision,37.73243866,-122.4056075
Medical Incident,37.76700203,-122.4221581
Medical Incident,37.78150637,-122.4079329
Medical Incident,37.77986128,-122.3895907
Medical Incident,37.79920486,-122.4401325
Structure Fire,37.78521736,-122.4170696
Traffic Collision,37.78239164,-122.4473015
Alarms,37.79051268,-122.4022167
Medical Incident,37.7124645,-122.4630291
Alarms,37.78729529,-122.4158061
Medical Incident,37.78008594,-122.3975017
Medical Incident,37.78160513,-122.4163363
Structure Fire,37.78878689,-122.4270597
Medical Incident,37.78005744,-122.4086735
Medical Incident,37.76208111,-122.468321
Medical Incident,37.7330297,-122.4342263
Medical Incident,37.74089198,-122.465829
Medical Incident,37.78895561,-122.4178258
Medical Incident,37.76967964,-122.449942
Alarms,37.74691023,-122.4258238
Medical Incident,37.77487017,-122.3944171
Structure Fire,37.783359,-122.4166949
Medical Incident,37.80546355,-122.4144122
Medical Incident,37.71781485,-122.3914268
Gas Leak (Natural and LP Gases),37.79009247,-122.4426337
Medical Incident,37.76062927,-122.4126814
Medical Incident,37.72919356,-122.3740024
Alarms,37.79589953,-122.4377815
Alarms,37.77991167,-122.4074744
Alarms,37.78726854,-122.4001889
Medical Incident,37.79695516,-122.3989082
Medical Incident,37.77966604,-122.4137112
Medical Incident,37.77651282,-122.4149667
Medical Incident,37.79461386,-122.403979
Structure Fire,37.77025923,-122.4318323
Traffic Collision,37.77531731,-122.427724
Medical Incident,37.78476846,-122.4860872
Structure Fire,37.79531294,-122.3979748
Medical Incident,37.72848944,-122.4299954
Medical Incident,37.74084613,-122.4276968
Medical Incident,37.78636079,-122.4156169
Medical Incident,37.77782816,-122.4249247
Structure Fire,37.79860278,-122.4231486
Structure Fire,37.783359,-122.4166949
Medical Incident,37.78241705,-122.4208105
Structure Fire,37.78521736,-122.4170696
Other,37.72229807,-122.4113031
Alarms,37.7825474,-122.4122479
Alarms,37.75366959,-122.4222784
Medical Incident,37.7444275,-122.4086903
Medical Incident,37.79154569,-122.4200366
Medical Incident,37.7785752,-122.428452
Structure Fire,37.71645955,-122.4410196
Medical Incident,37.80727587,-122.4156164
Medical Incident,37.78128769,-122.4113181
Alarms,37.79051268,-122.4022167
Alarms,37.77299247,-122.4761579
Medical Incident,37.77842248,-122.4334073
Medical Incident,37.7854812,-122.4212035
Medical Incident,37.78305497,-122.4115773
Medical Incident,37.78284503,-122.4132218
Medical Incident,37.78594197,-122.4080127
Alarms,37.78730401,-122.3963805
Medical Incident,37.78139813,-122.4092454
Alarms,37.79129325,-122.3986146
Alarms,37.77991167,-122.4074744
Medical Incident,37.79180108,-122.3995994
Medical Incident,37.7785752,-122.428452
Medical Incident,37.77487017,-122.3944171
Medical Incident,37.78689868,-122.3887794
Medical Incident,37.74702849,-122.4315135
Medical Incident,37.77844605,-122.4995914
Medical Incident,37.73654494,-122.4223236
Medical Incident,37.77409268,-122.4410844
Medical Incident,37.77886069,-122.4082716
Structure Fire,37.77428384,-122.4670881
Structure Fire,37.77428384,-122.4670881
Outside Fire,37.76042745,-122.410962
Other,37.78697332,-122.4258459
Medical Incident,37.79053181,-122.4039142
Medical Incident,37.79073739,-122.4198727
Outside Fire,37.76042745,-122.410962
Medical Incident,37.78636079,-122.4156169
Alarms,37.78935407,-122.4000324
Structure Fire,37.79049502,-122.4023533
Outside Fire,37.73956627,-122.4069786
Medical Incident,37.76062927,-122.4126814
Alarms,37.79129325,-122.3986146
Traffic Collision,37.76495166,-122.4319376
Medical Incident,37.77708346,-122.4169793
Medical Incident,37.77762424,-122.3999811
Medical Incident,37.7124645,-122.4630291
Traffic Collision,37.72378785,-122.4364493
Medical Incident,37.78149663,-122.4163145
Alarms,37.78420567,-122.4076127
Structure Fire,37.78640961,-122.4080362
Medical Incident,37.75148331,-122.4564484
Medical Incident,37.79695516,-122.3989082
Medical Incident,37.77419657,-122.5100338
Traffic Collision,37.78239164,-122.4473015
Medical Incident,37.79625512,-122.4084104
Alarms,37.76990742,-122.4291109
Traffic Collision,37.76495166,-122.4319376
Medical Incident,37.78111921,-122.412597
Medical Incident,37.79020396,-122.4163929
Alarms,37.78870661,-122.3990102
Medical Incident,37.79053181,-122.4039142
Medical Incident,37.78921883,-122.4068427
Medical Incident,37.76173673,-122.4973495
Medical Incident,37.78005744,-122.4086735
Structure Fire,37.78521736,-122.4170696
Alarms,37.79746472,-122.4146678
Medical Incident,37.78176091,-122.4151051
Medical Incident,37.76033176,-122.5092121
Medical Incident,37.79777923,-122.407828
Medical Incident,37.74953353,-122.4771494
Structure Fire,37.79049502,-122.4023533
Medical Incident,37.78153451,-122.4281353
Medical Incident,37.79318893,-122.4005535
Medical Incident,37.78118085,-122.428836
Alarms,37.72569336,-122.4522897
Medical Incident,37.79727032,-122.4059152
Medical Incident,37.72848944,-122.4299954
Outside Fire,37.79983846,-122.4284568
Medical Incident,37.78157397,-122.4554288
Structure Fire,37.79049502,-122.4023533
Medical Incident,37.76227855,-122.4193325
Medical Incident,37.77874221,-122.4304635
Medical Incident,37.79695516,-122.3989082
Medical Incident,37.74953353,-122.4771494
Alarms,37.78137782,-122.433162
Medical Incident,37.76310298,-122.4663147
Medical Incident,37.78150637,-122.4079329
Medical Incident,37.78160513,-122.4163363
Medical Incident,37.78636079,-122.4156169
Medical Incident,37.77952317,-122.4126393
Structure Fire,37.79860278,-122.4231486
Medical Incident,37.76844274,-122.4222977
Medical Incident,37.78111921,-122.412597
Medical Incident,37.75828227,-122.4907982
Structure Fire,37.78521736,-122.4170696
Structure Fire,37.77428384,-122.4670881
Medical Incident,37.77792272,-122.4189512
Medical Incident,37.78511111,-122.414592
Alarms,37.7841909,-122.4101195
Structure Fire,37.79860278,-122.4231486
Medical Incident,37.78689868,-122.3887794
Medical Incident,37.78491618,-122.41195
Medical Incident,37.75257276,-122.4129952
Medical Incident,37.78147394,-122.4206896
Medical Incident,37.78508117,-122.4064978
Structure Fire,37.78878689,-122.4270597
Traffic Collision,37.71347595,-122.4345411
Medical Incident,37.77409268,-122.4410844
Medical Incident,37.77651282,-122.4149667
Structure Fire,37.78640961,-122.4080362
Medical Incident,37.78139813,-122.4092454
Medical Incident,37.76129048,-122.4072554
Medical Incident,37.76799245,-122.3943915
Medical Incident,37.78233759,-122.4138914
Outside Fire,37.76042745,-122.410962
Structure Fire,37.77025923,-122.4318323
Medical Incident,37.73520174,-122.4341983
Medical Incident,37.76060062,-122.3973793
Smoke Investigation (Outside),37.75008261,-122.4433473
Medical Incident,37.77952317,-122.4126393
Medical Incident,37.7773216,-122.449116
Medical Incident,37.79180108,-122.3995994
Medical Incident,37.7881263,-122.4176572
Structure Fire,37.783359,-122.4166949
Alarms,37.78726854,-122.4001889
Structure Fire,37.79049502,-122.4023533
Medical Incident,37.79180108,-122.3995994
Medical Incident,37.79695516,-122.3989082
Medical Incident,37.7702426,-122.4296382
Medical Incident,37.73782181,-122.4323983
Medical Incident,37.76403274,-122.5094022
Medical Incident,37.78241705,-122.4208105
Medical Incident,37.79342018,-122.4093887
Structure Fire,37.77527206,-122.4159082
Medical Incident,37.78788961,-122.401043
Medical Incident,37.77782548,-122.4715032
Medical Incident,37.78367395,-122.415073
Medical Incident,37.75219765,-122.3974777
Medical Incident,37.77953108,-122.4135425
Medical Incident,37.7625884,-122.4325313
Medical Incident,37.77016312,-122.4461504
Medical Incident,37.77409486,-122.4200014
Medical Incident,37.78149663,-122.4163145
Medical Incident,37.73485505,-122.3794869
Medical Incident,37.74817255,-122.458695
Medical Incident,37.79057826,-122.4206874
Medical Incident,37.72094713,-122.4531654
Medical Incident,37.77091334,-122.420305
Medical Incident,37.76505134,-122.419669
Medical Incident,37.73295563,-122.3875908
Alarms,37.75366959,-122.4222784
Medical Incident,37.7731448,-122.3914729
Medical Incident,37.77708346,-122.4169793
Medical Incident,37.78480739,-122.4136154
Medical Incident,37.78796309,-122.4034918
Medical Incident,37.76505134,-122.419669
Alarms,37.79589953,-122.4377815
Alarms,37.77732776,-122.3930886
Medical Incident,37.77874221,-122.4304635
Medical Incident,37.7854812,-122.4212035
Medical Incident,37.79053181,-122.4039142
Structure Fire,37.75599844,-122.4094331
Structure Fire,37.77527206,-122.4159082
Medical Incident,37.78512515,-122.404966
Medical Incident,37.78258503,-122.4156939
Medical Incident,37.79154569,-122.4200366
Medical Incident,37.79920486,-122.4401325
Medical Incident,37.78512515,-122.404966
Alarms,37.78316766,-122.3978255
Medical Incident,37.77782816,-122.4249247
Alarms,37.78299265,-122.3905285
Structure Fire,37.783359,-122.4166949
Medical Incident,37.77762424,-122.3999811
Traffic Collision,37.74252073,-122.4043063
Medical Incident,37.73209214,-122.3908027
Medical Incident,37.75117143,-122.3973798
Medical Incident,37.78594197,-122.4080127
Structure Fire,37.76065163,-122.4132237
Alarms,37.7903193,-122.4231629
Medical Incident,37.76208111,-122.468321
Traffic Collision,37.77085213,-122.4136792
Medical Incident,37.79175352,-122.4224337
Medical Incident,37.77091334,-122.420305
Medical Incident,37.78672974,-122.4131614
Medical Incident,37.78191397,-122.4130322
Alarms,37.78730401,-122.3963805
Medical Incident,37.79028274,-122.4340468
Medical Incident,37.77844605,-122.4995914
Alarms,37.75436288,-122.4232161
Medical Incident,37.72184586,-122.4561415
Alarms,37.76990742,-122.4291109
Medical Incident,37.77404134,-122.423188
Medical Incident,37.74921003,-122.4162418
Medical Incident,37.70893522,-122.4270135
Medical Incident,37.77824109,-122.4111848
Medical Incident,37.7830194,-122.4638918
Medical Incident,37.77305345,-122.4186182
Medical Incident,37.78611721,-122.4198542
Alarms,37.78420567,-122.4076127
Medical Incident,37.80627493,-122.4230092
Medical Incident,37.72094516,-122.4782782
Alarms,37.79746472,-122.4146678
Alarms,37.78137782,-122.433162
Alarms,37.78845684,-122.4018373
Medical Incident,37.78191397,-122.4130322
Medical Incident,37.78808219,-122.4100569
Medical Incident,37.72967082,-122.3734405
Medical Incident,37.79695516,-122.3989082
