final_priority,latitude,longitude
3,37.78160513,-122.4163363
3,37.7894925,-122.3901509
3,37.77782816,-122.4249247
3,37.79049502,-122.4023533
2,37.74521892,-122.4174839
2,37.77762424,-122.3999811
3,37.79695516,-122.3989082
3,37.77428384,-122.4670881
2,37.76972086,-122.4179492
3,37.77991167,-122.4074744
2,37.78434554,-122.4077851
3,37.79860278,-122.4231486
3,37.7806621,-122.4228979
3,37.78611721,-122.4198542
2,37.75762172,-122.4188873
3,37.77419657,-122.5100338
2,37.78429938,-122.4101413
2,37.78708179,-122.4258678
3,37.7894925,-122.3901509
2,37.78611721,-122.4198542
3,37.71347595,-122.4345411
3,37.79184209,-122.3949402
3,37.78153451,-122.4281353
3,37.77991167,-122.4074744
3,37.77779031,-122.4128343
2,37.74521892,-122.4174839
2,37.78373004,-122.4137537
3,37.76042745,-122.410962
2,37.76429934,-122.4185514
3,37.7841909,-122.4101195
3,37.7757637,-122.4757505
2,37.79494605,-122.4291559
3,37.76182764,-122.3983307
3,37.76182764,-122.3983307
3,37.78574399,-122.405831
3,37.73295563,-122.3875908
3,37.75219765,-122.3974777
2,37.78300757,-122.4458585
3,37.77487017,-122.3944171
2,37.78600483,-122.3950773
3,37.75436288,-122.4232161
2,37.77409486,-122.4200014
3,37.73605995,-122.4923319
3,37.75124396,-122.4215853
3,37.72930177,-122.3908768
2,37.78300757,-122.4458585
3,37.78935407,-122.4000324
3,37.75828227,-122.4907982
2,37.70911386,-122.4318301
3,37.76272932,-122.4229584
3,37.75584156,-122.4017799
3,37.7825474,-122.4122479
3,37.78729529,-122.4158061
3,37.7330297,-122.4342263
3,37.7233591,-122.4019025
3,37.79860278,-122.4231486
3,37.72569336,-122.4522897
2,37.78383852,-122.4137755
2,37.78775592,-122.4009754
3,37.79920486,-122.4401325
3,37.79983846,-122.4284568
3,37.78013037,-122.4098714
3,37.73654494,-122.4223236
2,37.79916843,-122.4174283
3,37.74089198,-122.465829
2,37.76429934,-122.4185514
2,37.75995363,-122.4371836
3,37.78071918,-122.4153156
3,37.73243866,-122.4056075
3,37.78434554,-122.4077851
2,37.780001,-122.4416585
2,37.78566436,-122.4597544
2,37.77578731,-122.3933551
2,37.72581695,-122.402917
3,37.80769049,-122.4123296
2,37.76437321,-122.4174785
3,37.77883232,-122.4156425
3,37.78640961,-122.4080362
2,37.78191397,-122.4130322
3,37.72378785,-122.4364493
3,37.75599844,-122.4094331
3,37.80711992,-122.4164279
2,37.70885361,-122.4051095
3,37.7825474,-122.4122479
3,37.7444275,-122.4086903
3,37.78775662,-122.4130557
3,37.77555816,-122.4186586
2,37.78611721,-122.4198542
3,37.75754536,-122.4730003
3,37.783359,-122.4166949
3,37.77555816,-122.4186586
3,37.74801345,-122.4224874
3,37.71347595,-122.4345411
3,37.77299247,-122.4761579
3,37.78420567,-122.4076127
3,37.7707087,-122.4077168
3,37.77416171,-122.489139
3,37.75729278,-122.3957719
3,37.75464094,-122.4186018
3,37.74691023,-122.4258238
3,37.77404134,-122.423188
3,37.78316766,-122.3978255
3,37.73486828,-122.411052
3,37.76423612,-122.4196598
3,37.78326039,-122.4183662
3,37.79049502,-122.4023533
3,37.79569128,-122.4394237
3,37.77782548,-122.4715032
3,37.79129325,-122.3986146
3,37.77953108,-122.4135425
2,37.72581695,-122.402917
3,37.75599844,-122.4094331
3,37.78594197,-122.4080127
3,37.78186545,-122.4142853
2,37.7935386,-122.3928891
3,37.78147394,-122.4206896
3,37.75255649,-122.451114
2,37.77986128,-122.3895907
3,37.78895561,-122.4178258
3,37.78086621,-122.4288032
3,37.7702426,-122.4296382
3,37.7757637,-122.4757505
3,37.79695516,-122.3989082
3,37.76213763,-122.4362418
3,37.78137782,-122.433162
3,37.78186545,-122.4142853
3,37.75730761,-122.4066198
3,37.78003795,-122.4858076
3,37.78511111,-122.414592
3,37.77025923,-122.4318323
2,37.76907575,-122.4207886
3,37.76310298,-122.4663147
2,37.78186545,-122.4142853
3,37.78137782,-122.433162
3,37.78097118,-122.4087087
3,37.79569128,-122.4394237
3,37.80769049,-122.4123296
3,37.76946255,-122.4062134
3,37.77844605,-122.4995914
3,37.7757637,-122.4757505
2,37.75995363,-122.4371836
2,37.75300403,-122.4063362
2,37.783052,-122.4200103
3,37.78150637,-122.4079329
2,37.77966604,-122.4137112
2,37.74957409,-122.476228
3,37.79452665,-122.411364
3,37.78818604,-122.4059182
2,37.75995363,-122.4371836
2,37.7885473,-122.4143744
2,37.78316343,-122.4115993
2,37.77650804,-122.4144578
2,37.7323221,-122.378385
3,37.77527143,-122.4660187
2,37.77592613,-122.4245791
3,37.80769049,-122.4123296
2,37.77592613,-122.4245791
3,37.77091334,-122.420305
3,37.7757637,-122.4757505
3,37.78726854,-122.4001889
3,37.78299265,-122.3905285
3,37.7773216,-122.449116
2,37.74702849,-122.4315135
3,37.78521736,-122.4170696
3,37.79129325,-122.3986146
3,37.77428384,-122.4670881
3,37.77416171,-122.489139
2,37.76429934,-122.4185514
3,37.76946255,-122.4062134
3,37.79746472,-122.4146678
3,37.783359,-122.4166949
3,37.75366959,-122.4222784
3,37.78191397,-122.4130322
3,37.77531731,-122.427724
2,37.79494605,-122.4291559
3,37.76967964,-122.449942
2,37.79073739,-122.4198727
3,37.78111921,-122.412597
3,37.74252073,-122.4043063
3,37.7806621,-122.4228979
3,37.75689017,-122.4222293
2,37.73371403,-122.3805885
3,37.76213763,-122.4362418
2,37.78373004,-122.4137537
3,37.72569336,-122.4522897
2,37.7712162,-122.4378883
2,37.80646891,-122.4192245
2,37.7124692,-122.4147903
3,37.7815854,-122.4230902
3,37.77991167,-122.4074744
3,37.78191397,-122.4130322
3,37.78186545,-122.4142853
3,37.79860278,-122.4231486
3,37.77262672,-122.4199873
3,37.78796309,-122.4034918
3,37.78521736,-122.4170696
3,37.79049502,-122.4023533
3,37.72930177,-122.3908768
3,37.76164305,-122.4120503
3,37.73216722,-122.4212838
2,37.78729821,-122.3944813
3,37.71645955,-122.4410196
2,37.78566436,-122.4597544
3,37.77085213,-122.4136792
3,37.79129325,-122.3986146
3,37.78530744,-122.4742451
2,37.77762424,-122.3999811
3,37.76403274,-122.5094022
2,37.77966604,-122.4137112
2,37.75683373,-122.406699
2,37.73117466,-122.3816081
2,37.7869902,-122.4106839
3,37.76990742,-122.4291109
2,37.78047851,-122.4125123
3,37.75730761,-122.4066198
2,37.78383852,-122.4137755
3,37.78521736,-122.4170696
3,37.78578701,-122.4125478
2,37.73111444,-122.3801049
2,37.78153743,-122.4095183
2,37.77097894,-122.402816
2,37.7985219,-122.4163842
3,37.75599844,-122.4094331
3,37.78401768,-122.4312381
3,37.74953353,-122.4771494
3,37.78186545,-122.4142853
3,37.7731448,-122.3914729
3,37.75223946,-122.4184453
3,37.74817255,-122.458695
3,37.77262672,-122.4199873
3,37.78258503,-122.4156939
3,37.78401768,-122.4312381
3,37.73654494,-122.4223236
3,37.77428384,-122.4670881
3,37.77824109,-122.4111848
3,37.73672968,-122.4248504
3,37.75599844,-122.4094331
2,37.79323049,-122.3931813
2,37.76924706,-122.4269556
3,37.80193064,-122.4125413
2,37.797515,-122.4471583
3,37.75617132,-122.4198655
3,37.75016484,-122.4128319
2,37.78566436,-122.4597544
3,37.75754536,-122.4730003
3,37.76423612,-122.4196598
3,37.73520174,-122.4341983
3,37.78611721,-122.4198542
2,37.79196281,-122.393243
2,37.78354278,-122.4925102
2,37.78144749,-122.4171456
3,37.74801345,-122.4224874
3,37.76419571,-122.4330745
3,37.77025923,-122.4318323
3,37.79860278,-122.4231486
3,37.79053181,-122.4039142
3,37.72094516,-122.4782782
2,37.79020396,-122.4163929
2,37.78160513,-122.4163363
3,37.77883232,-122.4156425
2,37.76491738,-122.4218864
2,37.75257276,-122.4129952
2,37.79282365,-122.3970342
3,37.77010383,-122.3910434
3,37.78594197,-122.4080127
2,37.77604635,-122.4112888
2,37.78332633,-122.4403249
3,37.77025923,-122.4318323
3,37.78316766,-122.3978255
3,37.76924401,-122.4080072
3,37.75117143,-122.3973798
2,37.71901187,-122.4804507
3,37.78071918,-122.4153156
3,37.78003795,-122.4858076
2,37.75196034,-122.4363769
2,37.78610104,-122.4180881
2,37.78780723,-122.4192796
3,37.77025923,-122.4318323
3,37.78086621,-122.4288032
3,37.76033176,-122.5092121
3,37.7877641,-122.4099253
3,37.76173673,-122.4973495
3,37.78729529,-122.4158061
3,37.78640961,-122.4080362
3,37.73438048,-122.4387974
3,37.78640961,-122.4080362
3,37.78241705,-122.4208105
2,37.78176091,-122.4151051
3,37.76495166,-122.4319376
3,37.78578701,-122.4125478
3,37.73782181,-122.4323983
3,37.72848944,-122.4299954
3,37.79049502,-122.4023533
3,37.76437321,-122.4174785
3,37.75148331,-122.4564484
2,37.79724775,-122.4346792
3,37.76967964,-122.449942
3,37.77319006,-122.418237
3,37.78640961,-122.4080362
3,37.77527143,-122.4660187
3,37.79777923,-122.407828
3,37.7841909,-122.4101195
3,37.78191397,-122.4130322
3,37.78128769,-122.4113181
3,37.75124396,-122.4215853
3,37.78150637,-122.4079329
3,37.78870661,-122.3990102
3,37.77409486,-122.4200014
2,37.77305345,-122.4186182
2,37.78764185,-122.4034308
3,37.75599844,-122.4094331
3,37.78818604,-122.4059182
3,37.72465238,-122.4022886
3,37.72025167,-122.4114755
3,37.77953108,-122.4135425
3,37.75414577,-122.4786157
3,37.77684957,-122.4213512
3,37.77299247,-122.4761579
3,37.73216722,-122.4212838
3,37.78186545,-122.4142853
3,37.78626844,-122.4129972
3,37.80627493,-122.4230092
2,37.79096861,-122.4023804
3,37.73605995,-122.4923319
3,37.78521736,-122.4170696
2,37.77659524,-122.4780333
3,37.80193064,-122.4125413
3,37.79318893,-122.4005535
3,37.72848944,-122.4299954
3,37.79049502,-122.4023533
3,37.7773216,-122.449116
2,37.78186545,-122.4142853
2,37.78437057,-122.4388412
2,37.78331041,-122.3883799
2,37.78708179,-122.4258678
3,37.75754536,-122.4730003
3,37.79049502,-122.4023533
3,37.77428384,-122.4670881
3,37.78119999,-122.4303649
2,37.78611721,-122.4198542
2,37.72229807,-122.4113031
2,37.73234096,-122.4061162
3,37.75016484,-122.4128319
3,37.75016484,-122.4128319
3,37.78420567,-122.4076127
3,37.78870661,-122.3990102
3,37.79184209,-122.3949402
3,37.72930177,-122.3908768
3,37.78845684,-122.4018373
2,37.78911017,-122.4170169
3,37.79049502,-122.4023533
2,37.77829356,-122.5029457
3,37.72025167,-122.4114755
3,37.76505134,-122.419669
3,37.73243866,-122.4056075
2,37.76700203,-122.4221581
3,37.78150637,-122.4079329
2,37.77986128,-122.3895907
3,37.79920486,-122.4401325
3,37.78521736,-122.4170696
3,37.78239164,-122.4473015
3,37.79051268,-122.4022167
2,37.7124645,-122.4630291
3,37.78729529,-122.4158061
2,37.78008594,-122.3975017
3,37.78160513,-122.4163363
3,37.78878689,-122.4270597
3,37.78005744,-122.4086735
3,37.76208111,-122.468321
3,37.7330297,-122.4342263
3,37.74089198,-122.465829
3,37.78895561,-122.4178258
3,37.76967964,-122.449942
3,37.74691023,-122.4258238
3,37.77487017,-122.3944171
3,37.783359,-122.4166949
3,37.80546355,-122.4144122
2,37.71781485,-122.3914268
3,37.79009247,-122.4426337
3,37.76062927,-122.4126814
2,37.72919356,-122.3740024
3,37.79589953,-122.4377815
3,37.77991167,-122.4074744
3,37.78726854,-122.4001889
3,37.79695516,-122.3989082
2,37.77966604,-122.4137112
3,37.77651282,-122.4149667
2,37.79461386,-122.403979
3,37.77025923,-122.4318323
3,37.77531731,-122.427724
2,37.78476846,-122.4860872
3,37.79531294,-122.3979748
3,37.72848944,-122.4299954
3,37.74084613,-122.4276968
3,37.78636079,-122.4156169
3,37.77782816,-122.4249247
3,37.79860278,-122.4231486
3,37.783359,-122.4166949
3,37.78241705,-122.4208105
3,37.78521736,-122.4170696
2,37.72229807,-122.4113031
3,37.7825474,-122.4122479
3,37.75366959,-122.4222784
3,37.7444275,-122.4086903
3,37.79154569,-122.4200366
3,37.7785752,-122.428452
3,37.71645955,-122.4410196
2,37.80727587,-122.4156164
3,37.78128769,-122.4113181
3,37.79051268,-122.4022167
3,37.77299247,-122.4761579
3,37.77842248,-122.4334073
3,37.7854812,-122.4212035
3,37.78305497,-122.4115773
3,37.78284503,-122.4132218
3,37.78594197,-122.4080127
3,37.78730401,-122.3963805
2,37.78139813,-122.4092454
3,37.79129325,-122.3986146
3,37.77991167,-122.4074744
3,37.79180108,-122.3995994
3,37.7785752,-122.428452
3,37.77487017,-122.3944171
3,37.78689868,-122.3887794
2,37.74702849,-122.4315135
3,37.77844605,-122.4995914
3,37.73654494,-122.4223236
2,37.77409268,-122.4410844
2,37.77886069,-122.4082716
3,37.77428384,-122.4670881
3,37.77428384,-122.4670881
3,37.76042745,-122.410962
3,37.78697332,-122.4258459
3,37.79053181,-122.4039142
2,37.79073739,-122.4198727
3,37.76042745,-122.410962
3,37.78636079,-122.4156169
3,37.78935407,-122.4000324
3,37.79049502,-122.4023533
3,37.73956627,-122.4069786
3,37.76062927,-122.4126814
3,37.79129325,-122.3986146
3,37.76495166,-122.4319376
2,37.77708346,-122.4169793
3,37.77762424,-122.3999811
2,37.7124645,-122.4630291
3,37.72378785,-122.4364493
3,37.78149663,-122.4163145
3,37.78420567,-122.4076127
3,37.78640961,-122.4080362
3,37.75148331,-122.4564484
3,37.79695516,-122.3989082
3,37.77419657,-122.5100338
3,37.78239164,-122.4473015
3,37.79625512,-122.4084104
3,37.76990742,-122.4291109
3,37.76495166,-122.4319376
3,37.78111921,-122.412597
2,37.79020396,-122.4163929
3,37.78870661,-122.3990102
2,37.79053181,-122.4039142
2,37.78921883,-122.4068427
3,37.76173673,-122.4973495
3,37.78005744,-122.4086735
3,37.78521736,-122.4170696
3,37.79746472,-122.4146678
2,37.78176091,-122.4151051
3,37.76033176,-122.5092121
3,37.79777923,-122.407828
3,37.74953353,-122.4771494
3,37.79049502,-122.4023533
3,37.78153451,-122.4281353
3,37.79318893,-122.4005535
2,37.78118085,-122.428836
3,37.72569336,-122.4522897
2,37.79727032,-122.4059152
3,37.72848944,-122.4299954
3,37.79983846,-122.4284568
3,37.78157397,-122.4554288
3,37.79049502,-122.4023533
2,37.76227855,-122.4193325
3,37.77874221,-122.4304635
3,37.79695516,-122.3989082
3,37.74953353,-122.4771494
3,37.78137782,-122.433162
3,37.76310298,-122.4663147
3,37.78150637,-122.4079329
2,37.78160513,-122.4163363
3,37.78636079,-122.4156169
3,37.77952317,-122.4126393
3,37.79860278,-122.4231486
2,37.76844274,-122.4222977
3,37.78111921,-122.412597
3,37.75828227,-122.4907982
3,37.78521736,-122.4170696
3,37.77428384,-122.4670881
2,37.77792272,-122.4189512
3,37.78511111,-122.414592
3,37.7841909,-122.4101195
3,37.79860278,-122.4231486
3,37.78689868,-122.3887794
2,37.78491618,-122.41195
2,37.75257276,-122.4129952
3,37.78147394,-122.4206896
2,37.78508117,-122.4064978
3,37.78878689,-122.4270597
3,37.71347595,-122.4345411
2,37.77409268,-122.4410844
3,37.77651282,-122.4149667
3,37.78640961,-122.4080362
2,37.78139813,-122.4092454
2,37.76129048,-122.4072554
3,37.76799245,-122.3943915
3,37.78233759,-122.4138914
3,37.76042745,-122.410962
3,37.77025923,-122.4318323
3,37.73520174,-122.4341983
3,37.76060062,-122.3973793
3,37.75008261,-122.4433473
3,37.77952317,-122.4126393
3,37.7773216,-122.449116
3,37.79180108,-122.3995994
3,37.7881263,-122.4176572
3,37.783359,-122.4166949
3,37.78726854,-122.4001889
3,37.79049502,-122.4023533
3,37.79180108,-122.3995994
3,37.79695516,-122.3989082
3,37.7702426,-122.4296382
3,37.73782181,-122.4323983
3,37.76403274,-122.5094022
3,37.78241705,-122.4208105
3,37.79342018,-122.4093887
3,37.77527206,-122.4159082
2,37.78788961,-122.401043
3,37.77782548,-122.4715032
2,37.78367395,-122.415073
3,37.75219765,-122.3974777
3,37.77953108,-122.4135425
2,37.7625884,-122.4325313
3,37.77016312,-122.4461504
3,37.77409486,-122.4200014
3,37.78149663,-122.4163145
3,37.73485505,-122.3794869
3,37.74817255,-122.458695
2,37.79057826,-122.4206874
3,37.72094713,-122.4531654
3,37.77091334,-122.420305
2,37.76505134,-122.419669
3,37.73295563,-122.3875908
3,37.75366959,-122.4222784
3,37.7731448,-122.3914729
2,37.77708346,-122.4169793
2,37.78480739,-122.4136154
3,37.78796309,-122.4034918
3,37.76505134,-122.419669
3,37.79589953,-122.4377815
3,37.77732776,-122.3930886
3,37.77874221,-122.4304635
3,37.7854812,-122.4212035
2,37.79053181,-122.4039142
3,37.75599844,-122.4094331
3,37.77527206,-122.4159082
3,37.78512515,-122.404966
3,37.78258503,-122.4156939
3,37.79154569,-122.4200366
3,37.79920486,-122.4401325
3,37.78512515,-122.404966
3,37.78316766,-122.3978255
3,37.77782816,-122.4249247
3,37.78299265,-122.3905285
3,37.783359,-122.4166949
2,37.77762424,-122.3999811
3,37.74252073,-122.4043063
2,37.73209214,-122.3908027
3,37.75117143,-122.3973798
3,37.78594197,-122.4080127
3,37.76065163,-122.4132237
3,37.7903193,-122.4231629
3,37.76208111,-122.468321
3,37.77085213,-122.4136792
2,37.79175352,-122.4224337
2,37.77091334,-122.420305
3,37.78672974,-122.4131614
3,37.78191397,-122.4130322
3,37.78730401,-122.3963805
2,37.79028274,-122.4340468
3,37.77844605,-122.4995914
3,37.75436288,-122.4232161
3,37.72184586,-122.4561415
3,37.76990742,-122.4291109
3,37.77404134,-122.423188
2,37.74921003,-122.4162418
2,37.70893522,-122.4270135
3,37.77824109,-122.4111848
3,37.7830194,-122.4638918
2,37.77305345,-122.4186182
2,37.78611721,-122.4198542
3,37.78420567,-122.4076127
3,37.80627493,-122.4230092
3,37.72094516,-122.4782782
3,37.79746472,-122.4146678
3,37.78137782,-122.433162
3,37.78845684,-122.4018373
2,37.78191397,-122.4130322
3,37.78808219,-122.4100569
3,37.72967082,-122.3734405
3,37.79695516,-122.3989082
2,37.77865785,-122.4165803
3,37.783359,-122.4166949
3,37.7560964,-122.4277834
3,37.79625512,-122.4084104
3,37.75599844,-122.4094331
3,37.77814783,-122.4862064
3,37.78157397,-122.4554288
3,37.79531294,-122.3979748
3,37.77016312,-122.4461504
2,37.79028274,-122.4340468
2,37.75521795,-122.4755404
3,37.77938258,-122.4184844
3,37.78160513,-122.4163363
2,37.77829356,-122.5029457
2,37.78610104,-122.4180881
3,37.73485505,-122.3794869
3,37.78640961,-122.4080362
2,37.78508117,-122.4064978
2,37.78491618,-122.41195
3,37.75599844,-122.4094331
3,37.79589953,-122.4377815
3,37.78434554,-122.4077851
2,37.78008594,-122.3975017
3,37.76495166,-122.4319376
3,37.79051268,-122.4022167
3,37.76967964,-122.449942
3,37.7806621,-122.4228979
3,37.78626844,-122.4129972
2,37.77529388,-122.4188944
2,37.70911386,-122.4318301
3,37.76360876,-122.4760544
3,37.77010383,-122.3910434
2,37.78597748,-122.4053594
3,37.77025923,-122.4318323
2,37.74669767,-122.4350604
3,37.75223946,-122.4184453
3,37.78689868,-122.3887794
2,37.76700203,-122.4221581
3,37.76065163,-122.4132237
3,37.79860278,-122.4231486
2,37.74669767,-122.4350604
2,37.70893522,-122.4270135
3,37.75599844,-122.4094331
3,37.77016312,-122.4461504
3,37.78818604,-122.4059182
2,37.77345633,-122.4215911
3,37.77526077,-122.4194312
2,37.77005466,-122.4461284
3,37.78738198,-122.396478
3,37.78729529,-122.4158061
2,37.78775592,-122.4009754
3,37.76495166,-122.4319376
3,37.78818604,-122.4059182
3,37.78013037,-122.4098714
3,37.75599844,-122.4094331
3,37.78403808,-122.4264243
2,37.78480739,-122.4136154
3,37.78097118,-122.4087087
2,37.70885361,-122.4051095
3,37.75617132,-122.4198655
3,37.78845684,-122.4018373
2,37.78066916,-122.401678
2,37.77345633,-122.4215911
3,37.783359,-122.4166949
2,37.77709207,-122.4292128
3,37.76060062,-122.3973793
3,37.79569128,-122.4394237
3,37.79129325,-122.3986146
2,37.78594273,-122.4189026
2,37.77592613,-122.4245791
3,37.78808219,-122.4100569
3,37.8028277,-122.4130343
3,37.78672974,-122.4131614
3,37.77526077,-122.4194312
3,37.75508303,-122.4112654
2,37.75723241,-122.4156262
2,37.78497774,-122.4596976
3,37.77025923,-122.4318323
3,37.78186545,-122.4142853
3,37.76182764,-122.3983307
3,37.73672968,-122.4248504
2,37.73371403,-122.3805885
3,37.76033176,-122.5092121
3,37.75689017,-122.4222293
3,37.79777923,-122.407828
3,37.76360876,-122.4760544
3,37.77027309,-122.448605
2,37.74616295,-122.3940489
3,37.7881263,-122.4176572
2,37.76187247,-122.4942742
3,37.76042745,-122.410962
3,37.77025923,-122.4318323
2,37.77592613,-122.4245791
3,37.78521736,-122.4170696
3,37.75464094,-122.4186018
3,37.76429102,-122.4186894
3,37.78079208,-122.4083857
3,37.78013037,-122.4098714
3,37.78730401,-122.3963805
2,37.77762424,-122.3999811
3,37.72405744,-122.3899483
3,37.77025923,-122.4318323
3,37.74953353,-122.4771494
3,37.78157397,-122.4554288
2,37.79057826,-122.4206874
3,37.80711992,-122.4164279
2,37.78894504,-122.4262523
3,37.783359,-122.4166949
3,37.78640961,-122.4080362
3,37.79342018,-122.4093887
3,37.76437321,-122.4174785
3,37.78186545,-122.4142853
3,37.78420567,-122.4076127
3,37.7233591,-122.4019025
3,37.77428384,-122.4670881
3,37.79452665,-122.411364
3,37.72967082,-122.3734405
3,37.77428384,-122.4670881
3,37.75210237,-122.440665
3,37.72184586,-122.4561415
3,37.75584156,-122.4017799
3,37.77416171,-122.489139
2,37.7499758,-122.4159622
3,37.78935407,-122.4000324
3,37.7806621,-122.4228979
2,37.79053181,-122.4039142
2,37.75723241,-122.4156262
2,37.78399149,-122.4080665
3,37.74084613,-122.4276968
3,37.7877641,-122.4099253
3,37.78147394,-122.4206896
3,37.77010383,-122.3910434
3,37.7824485,-122.4163274
3,37.74222503,-122.4944433
2,37.73831726,-122.4995334
2,37.78263551,-122.4148628
2,37.78917736,-122.422263
3,37.81917592,-122.3710999
3,37.78986887,-122.3978056
3,37.74817255,-122.458695
3,37.76275109,-122.4042462
3,37.77805779,-122.4400518
2,37.77749384,-122.4162917
3,37.76559675,-122.4477975
3,37.72814508,-122.4564367
3,37.78491088,-122.4995146
3,37.77523622,-122.4144063
3,37.74222503,-122.4944433
2,37.78434554,-122.4077851
3,37.7824485,-122.4163274
3,37.76134014,-122.4639079
3,37.76886079,-122.395396
3,37.73727089,-122.3982637
3,37.77843737,-122.4190698
2,37.76424989,-122.4320149
3,37.74510911,-122.4714886
2,37.73401387,-122.3909679
3,37.78211033,-122.4031964
3,37.77207518,-122.4087468
2,37.76138705,-122.4628379
2,37.7931846,-122.3947725
3,37.75730761,-122.4066198
3,37.77843737,-122.4190698
2,37.78502466,-122.4119719
3,37.76324376,-122.4631061
2,37.77749384,-122.4162917
2,37.78289412,-122.420817
2,37.77754677,-122.4000792
3,37.71064899,-122.4124688
2,37.77507596,-122.5112949
3,37.793382,-122.4136606
2,37.75857197,-122.406726
3,37.71137971,-122.4503411
3,37.78500949,-122.4187138
3,37.745101,-122.3921823
3,37.76225041,-122.4857027
2,37.76946134,-122.4019639
3,37.78114586,-122.409026
3,37.71137971,-122.4503411
3,37.7720335,-122.3982007
3,37.76979785,-122.4485788
3,37.72921225,-122.3909569
2,37.79050051,-122.4173664
3,37.74033299,-122.4664486
2,37.77393927,-122.4129479
3,37.76643768,-122.4075407
3,37.71137971,-122.4503411
2,37.79323049,-122.3931813
3,37.71866363,-122.443891
3,37.78409104,-122.4117844
3,37.73823929,-122.5000578
3,37.78159559,-122.4121907
3,37.78229062,-122.4401195
2,37.71815831,-122.4417231
3,37.74033299,-122.4664486
3,37.72131314,-122.3959896
3,37.783359,-122.4166949
3,37.78787217,-122.4116992
3,37.79394559,-122.4154347
3,37.78347684,-122.4124351
2,37.78259767,-122.4577588
3,37.76890334,-122.4518391
3,37.78531207,-122.4263666
3,37.78512515,-122.404966
3,37.78047851,-122.4125123
3,37.79786454,-122.3967013
3,37.77091334,-122.420305
3,37.78252242,-122.4232744
2,37.78186545,-122.4142853
3,37.78750963,-122.4201362
2,37.77281404,-122.4103348
3,37.75273903,-122.4100664
3,37.72921225,-122.3909569
2,37.73831726,-122.4995334
2,37.78061684,-122.4165623
2,37.75745392,-122.4736919
3,37.77091334,-122.420305
2,37.78802755,-122.4478045
3,37.78574028,-122.4138043
3,37.73727089,-122.3982637
3,37.78900115,-122.4011429
2,37.78061684,-122.4165623
2,37.78061684,-122.4165623
2,37.78988335,-122.4180124
3,37.74033299,-122.4664486
3,37.7187541,-122.4116733
3,37.79582794,-122.4158399
3,37.76890334,-122.4518391
3,37.7657833,-122.4075342
3,37.77973891,-122.4071595
3,37.73342303,-122.4820138
3,37.71137971,-122.4503411
2,37.76088893,-122.4350007
